attribute,completeness,uniqueness,consistency,readability,name
other_parties,100.0,0.3,100.0,95.9,credit-g
residence_since,100.0,0.4,100.0,100.0,credit-g
property_magnitude,100.0,0.4,100.0,100.0,credit-g
age,100.0,5.0,100.0,100.0,credit-g
other_payment_plans,100.0,0.3,100.0,95.3,credit-g
housing,100.0,0.3,100.0,100.0,credit-g
existing_credits,100.0,0.3,100.0,100.0,credit-g
job,100.0,0.4,100.0,83.0,credit-g
num_dependents,100.0,0.2,100.0,100.0,credit-g
own_telephone,100.0,0.2,100.0,100.0,credit-g
foreign_worker,100.0,0.2,100.0,100.0,credit-g
class,100.0,0.2,100.0,100.0,credit-g
age,100.0,13.531353135313532,100.0,100.0,hearth disease
sex,100.0,0.6600660066006601,100.0,100.0,hearth disease
cp,100.0,1.32013201320132,100.0,100.0,hearth disease
trestbps,100.0,15.84158415841584,100.0,100.0,hearth disease
chol,100.0,48.51485148514851,100.0,100.0,hearth disease
fbs,100.0,0.6600660066006601,100.0,100.0,hearth disease
restecg,100.0,0.99009900990099,100.0,100.0,hearth disease
thalach,100.0,29.7029702970297,100.0,100.0,hearth disease
exang,100.0,0.6600660066006601,100.0,100.0,hearth disease
oldpeak,100.0,12.54125412541254,100.0,100.0,hearth disease
slope,100.0,0.99009900990099,100.0,100.0,hearth disease
ca,100.0,1.65016501650165,100.0,0.0,hearth disease
thal,100.0,1.32013201320132,100.0,0.0,hearth disease
num,100.0,0.6600660066006601,100.0,100.0,hearth disease
parents,100.0,0.0231481481481481,100.0,66.66666666666666,nursery
has_nurs,100.0,0.0385802469135802,100.0,60.0,nursery
form,100.0,0.0308641975308641,100.0,75.0,nursery
children,100.0,0.0308641975308641,100.0,25.0,nursery
housing,100.0,0.0231481481481481,100.0,66.66666666666666,nursery
finance,100.0,0.015432098765432,100.0,50.0,nursery
social,100.0,0.0231481481481481,100.0,33.33333333333333,nursery
health,100.0,0.0231481481481481,100.0,33.33333333333333,nursery
class,100.0,0.015432098765432,100.0,66.66666666666666,nursery
has_null,100.0,0.023872045834328,100.0,100.0,speed dating
wave,100.0,0.250656481260444,100.0,100.0,speed dating
gender,100.0,0.023872045834328,100.0,100.0,speed dating
age,100.0,0.286464550011936,100.0,100.0,speed dating
age_o,100.0,0.286464550011936,100.0,100.0,speed dating
d_age,100.0,0.41776080210074,100.0,100.0,speed dating
d_d_age,100.0,0.047744091668656,100.0,0.0,speed dating
race,100.0,0.05968011458582,100.0,6.230603962759608,speed dating
race_o,100.0,0.05968011458582,100.0,6.218667939842445,speed dating
samerace,100.0,0.023872045834328,100.0,100.0,speed dating
importance_same_race,100.0,0.131296252088804,100.0,100.0,speed dating
importance_same_religion,100.0,0.11936022917164,100.0,100.0,speed dating
d_importance_same_race,100.0,0.035808068751492,100.0,0.0,speed dating
d_importance_same_religion,100.0,0.035808068751492,100.0,0.0,speed dating
field,100.0,2.613989018858916,100.0,63.90546669849606,speed dating
pref_o_attractive,100.0,1.086178085461924,100.0,100.0,speed dating
pref_o_sincere,100.0,0.931009787538792,100.0,100.0,speed dating
pref_o_intelligence,100.0,0.71616137502984,100.0,100.0,speed dating
pref_o_funny,100.0,0.847457627118644,100.0,100.0,speed dating
pref_o_ambitious,100.0,0.9548818333731202,100.0,100.0,speed dating
pref_o_shared_interests,100.0,1.01456194795894,100.0,100.0,speed dating
d_pref_o_attractive,100.0,0.035808068751492,100.0,0.0,speed dating
d_pref_o_sincere,100.0,0.035808068751492,100.0,0.0,speed dating
d_pref_o_intelligence,100.0,0.035808068751492,100.0,0.0,speed dating
d_pref_o_funny,100.0,0.035808068751492,100.0,0.0,speed dating
d_pref_o_ambitious,100.0,0.035808068751492,100.0,0.0,speed dating
d_pref_o_shared_interests,100.0,0.035808068751492,100.0,0.0,speed dating
attractive_o,100.0,0.202912389591788,100.0,100.0,speed dating
sinsere_o,100.0,0.167104320840296,100.0,100.0,speed dating
intelligence_o,100.0,0.155168297923132,100.0,100.0,speed dating
funny_o,100.0,0.190976366674624,100.0,100.0,speed dating
ambitous_o,100.0,0.155168297923132,100.0,100.0,speed dating
shared_interests_o,100.0,0.17904034375746,100.0,100.0,speed dating
d_attractive_o,100.0,0.035808068751492,100.0,0.0,speed dating
d_sinsere_o,100.0,0.035808068751492,100.0,0.0,speed dating
d_intelligence_o,100.0,0.035808068751492,100.0,0.0,speed dating
d_funny_o,100.0,0.035808068751492,100.0,0.0,speed dating
d_ambitous_o,100.0,0.035808068751492,100.0,0.0,speed dating
d_shared_interests_o,100.0,0.035808068751492,100.0,0.0,speed dating
attractive_important,100.0,1.086178085461924,100.0,100.0,speed dating
sincere_important,100.0,0.931009787538792,100.0,100.0,speed dating
intellicence_important,100.0,0.71616137502984,100.0,100.0,speed dating
funny_important,100.0,0.847457627118644,100.0,100.0,speed dating
